pressure,extension,episode_index
0.0,0.00064137863,0
119.5888001104031,0.0008064833,0
477.8784844045367,0.0012073019,0
1073.4408051011778,0.0018612096,0
1903.9016760895684,0.0027131247,0
2965.9506367330323,0.0038427326,0
4255.354048336165,0.005171096,0
5766.971970670587,0.0066564954,0
7494.778651284381,0.008274333,0
9431.886545918962,0.010005561,0
11570.573774280878,0.011909364,0
13902.314901721758,0.013886306,0
16417.814924121638,0.015896352,0
19107.046320501977,0.01807642,0
21959.289025665683,0.020264763,0
24963.17316352162,0.022541003,0
28106.724370745913,0.024993584,0
31377.41153010663,0.02742126,0
34762.19672317295,0.02997876,0
38247.58720328253,0.03274166,0
41819.689181587644,0.03559917,0
45464.26321177301,0.03851932,0
49166.78095266587,0.04157762,0
52912.48308246552,0.044827692,0
56686.43813372951,0.048247553,0
60473.6020145828,0.051779877,0
64258.87797888096,0.0553805,0
68027.17680626875,0.059030727,0
71763.47695223868,0.062726945,0
75452.8844284138,0.066394515,0
79080.69217435429,0.0,0
82632.43868421456,0.07394577,0
86093.96565454759,0.07763897,0
89451.47442345561,0.08125755,0
92691.58097610423,0.084774464,0
95801.36929733136,0.08816179,0
98768.44285867258,0.091418535,0
101580.97403455991,0.09452817,0
104227.75125070673,0.097481705,0
106698.22367673181,0.10025747,0
108982.54328486395,0.10282162,0
111071.60410706967,0.10519505,0
112957.0785341128,0.10737736,0
114631.45051184774,0.10934338,0
116088.04550241589,0.11107347,0
117321.0570909117,0.11279164,0
118325.57013145542,0.11404558,0
119097.58034040662,0.11480731,0
119634.01025861327,0.11552176,0
119932.72151906662,0.115992285,0
119992.52337105945,0.11619483,0
119813.1774268676,0.11616767,0
119395.39861203343,0.11581091,0
118740.85231546286,0.115174994,0
117852.1477506967,0.114334606,0
116732.82755482002,0.113189265,0
115387.35366647164,0.11184446,0
113821.08953924783,0.11022343,0
112040.27876140288,0.10837491,0
110052.02016707505,0.1062778,0
107864.23953825116,0.10398759,0
105485.65801027472,0.10147152,0
102925.75730684228,0.098774366,0
100194.7419430713,0.09589111,0
97303.49854730972,0.092834495,0
94263.5524638417,0.08962709,0
91087.02180948466,0.0862813,0
87786.56916722085,0.082809374,0
84375.35110942733,0.07922428,0
80866.96575191893,0.075549886,0
77275.39854786999,0.07181521,0
73614.96653769542,0.068048485,0
69900.26127712792,0.06425211,0
66146.09067099678,0.060476165,0
62367.41994457516,0.056740895,0
58579.31198780257,0.053074952,0
54796.867310186964,0.04950335,0
51035.16384574437,0.04604678,0
47309.19684793084,0.042717658,0
43633.81911416381,0.039525684,0
40023.68177821433,0.036472216,0
36493.17590649042,0.033560608,0
33056.37513102481,0.0,0
29726.979547849336,0.028095763,0
26518.261104393576,0.025534075,0
23443.010693608994,0.023071114,0
20513.487165717743,0.020697957,0
17741.368460839687,0.018408883,0
15137.705057297477,0.016200965,0
12712.875921168452,0.01407539,0
10476.54713268143,0.012037904,0
8437.633354385289,0.010099346,0
6604.262294689186,0.008275868,0
4983.742308432687,0.0065889372,0
3582.5332636394596,0.005064547,0
2406.2207905885807,0.0037317984,0
1459.4940158535828,0.0026206006,0
746.1268700685832,0.0017589389,0
268.963043933647,0.0011702958,0
29.90465242956998,0.0008716756,0
29.904652429577254,0.0008722491,0
268.9630439336397,0.0011725951,0
746.126870068576,0.0017646521,0
1459.4940158535755,0.0026323865,0
2406.220790588588,0.0037530784,0
3582.533263639474,0.0050992686,0
4983.74230843268,0.006641352,0
6604.262294689179,0.008350386,0
8437.633354385274,0.010200467,0
10476.547132681415,0.012170279,0
12712.875921168466,0.014243877,0
15137.705057297455,0.016410822,0
17741.368460839672,0.01866596,0
20513.487165717735,0.02100893,0
23443.01069360898,0.023443583,0
26518.261104393605,0.02597737,0
29726.979547849365,0.028620368,0
33056.37513102479,0.031383943,0
36493.1759064904,0.03428076,0
40023.68177821431,0.03732178,0
43633.81911416378,0.040515244,0
47309.19684793087,0.043865044,0
51035.16384574435,0.047368675,0
54796.86731018694,0.05101767,0
58579.311987802546,0.054795083,0
62367.41994457514,0.058679402,0
66146.09067099681,0.06266275,0
69900.26127712791,0.06665824,0
73614.9665376954,0.07069119,0
77275.39854787002,0.07471636,0
80866.96575191892,0.07869239,0
84375.35110942736,0.08262077,0
87786.56916722082,0.08645465,0
91087.02180948465,0.09019758,0
94263.55246384171,0.09382042,0
97303.49854730969,0.097294874,0
100194.74194307133,0.10062666,0
102925.75730684225,0.10378879,0
105485.65801027472,0.10677222,0
107864.23953825119,0.10955723,0
110052.02016707504,0.11212999,0
112040.2787614029,0.11448909,0
113821.0895392478,0.11661497,0
115387.35366647164,0.118492424,0
116732.82755482005,0.12011422,0
117852.14775069669,0.12147196,0
118740.85231546288,0.12255521,0
119395.39861203343,0.12336931,0
119813.1774268676,0.12390816,0
119992.52337105945,0.12416981,0
119932.72151906662,0.1241533,0
119634.01025861327,0.123858824,0
119097.58034040664,0.12328339,0
118325.57013145542,0.122436196,0
117321.05709091171,0.12131495,0
116088.0455024159,0.11992551,0
114631.45051184771,0.118298195,0
112957.07853411284,0.11636072,0
111071.60410706967,0.11419817,0
108982.54328486396,0.11182633,0
106698.22367673181,0.109186426,0
104227.75125070671,0.10637808,0
101580.97403455993,0.10335328,0
98768.44285867258,0.100157954,0
95801.3692973314,0.096796714,0
92691.58097610423,0.09328349,0
89451.47442345558,0.0896413,0
86093.9656545476,0.085870944,0
82632.43868421455,0.08200635,0
79080.69217435434,0.07805657,0
75452.8844284138,0.074046336,0
71763.47695223865,0.069995254,0
68027.17680626876,0.065942794,0
64258.87797888093,0.06191327,0
60473.60201458284,0.057938986,0
56686.438133729505,0.05404931,0
52912.48308246558,0.050270453,0
49166.78095266588,0.0466255,0
45464.26321177298,0.04312868,0
41819.68918158767,0.03978779,0
38247.58720328253,0.036603905,0
34762.196723172994,0.03357218,0
31377.411530106638,0.03068343,0
28106.724370745887,0.02792664,0
24963.173163521657,0.025285969,0
21959.289025665676,0.022756163,0
19107.046320502013,0.020322656,0
16417.814924121645,0.01798049,0
13902.314901721737,0.015726853,0
11570.5737742809,0.013563664,0
9431.886545918955,0.011498091,0
7494.778651284403,0.009543016,0
5766.971970670595,0.0077171996,0
4255.35404833615,0.0060450216,0
2965.9506367330396,0.0045553367,0
1903.901676089561,0.0032794874,0
1073.4408051011924,0.0022484912,0
477.8784844045367,0.0014899914,0
119.58880011039582,0.0010256758,0
0.0,0.00086943636,0
9014.286128198324,0.0111090755,0
10987.455812139056,0.013043789,0
12670.39778175485,0.01463855,0
14665.387754962958,0.01647446,0
16483.982608614322,0.018107364,0
18506.282843478497,0.019887248,0
8917.972729394545,0.011027062,0
15566.82554540298,0.01730066,0
9203.324889544992,0.011317094,0
7248.264654214799,0.009325224,0
7743.393286859556,0.009841203,0
3567.9760908203943,0.0052802535,0
0.0,0.00087221974,0
0.0,0.0008724229,0
5703.519227860272,0.007686519,0
7579.51918140975,0.009681667,0
9427.810558650599,0.011558965,0
9427.810558650599,0.011561211,0
2838.29303239643,0.0044288025,0
2687.9907914728115,0.0042500906,0
12000.631452963999,0.014060995,0
8092.906836431413,0.010222592,0
6092.9264233300055,0.008121545,0
4895.976298122032,0.006808464,0
3822.830462121162,0.0055902866,0
0.0,0.000874745,0
0.0,0.00087492936,0
0.0,0.00087511237,0
934.2055868655934,0.0020878003,0
2803.9956979149592,0.0043976563,0
8306.65216513725,0.0104583725,0
16203.199173690227,0.017948765,0
24640.683874152564,0.02526789,0
23217.11318941432,0.024057131,0
21294.318205655203,0.02241264,0
21294.318205655203,0.022416396,0
19067.863999444842,0.020491846,0
25642.61418248343,0.026145222,0
21261.304376231044,0.02239908,0
14079.788875726297,0.016047673,0
5570.801749321714,0.0075785588,0
11015.697135254863,0.013168711,0
12689.008412326975,0.014763761,0
12689.008412326975,0.014766075,0
16826.15528927932,0.018542713,0
22251.562222998233,0.023276638,0
20559.121414647892,0.021820772,0
12876.502605150486,0.014951013,0
15342.465141701645,0.017222187,0
6613.632147422117,0.008720548,0
3117.298587957058,0.004788274,0
5868.448015061321,0.00791843,0
5312.746518300307,0.007308327,0
7271.461804508141,0.009423412,0
12487.16277684609,0.014600445,0
17906.506375937308,0.019531356,0
18361.16296357719,0.0199348,0
8869.545498459094,0.011077303,0
7542.277730033159,0.009714344,0
7542.277730033159,0.009715762,0
3829.3973515596927,0.0056329765,0
11980.726830081552,0.014134774,0
10188.385290794147,0.012401902,0
4764.348600626597,0.006706465,0
5867.201963109977,0.007932556,0
0.0,0.000881214,0
6162.40759128834,0.008256294,0
13591.619395042695,0.015661329,0
7323.020572763412,0.00949813,0
8109.865411076426,0.010319079,0
16031.691409546289,0.0,0
8232.729900099825,0.010448454,0
6774.8856726249505,0.008922354,0
13989.497337751818,0.016042337,0
13989.497337751818,0.01604437,0
12337.717400727399,0.014500438,0
4735.024747401055,0.0066856034,0
13593.218825651438,0.015682895,0
13969.031260518761,0.016033443,0
11241.623308104641,0.013458167,0
20490.569206946864,0.021863949,0
20435.539324794576,0.021818735,0
16132.349212343928,0.018016007,0
16132.349212343928,0.01801816,0
16185.929676921158,0.018068573,0
14193.75667068197,0.016254703,0
22359.074390015045,0.023500958,0
15256.971831839506,0.017233359,0
24969.98091405152,0.0,0
28412.691862169093,0.028729683,0
23165.442742017087,0.024209168,0
20521.105396402152,0.02191923,0
23191.699611620046,0.024237532,0
14997.495012708212,0.017008254,0
11413.096312142929,0.013647698,0
10678.485613874545,0.012935138,0
10678.485613874545,0.012936575,0
14229.772850720194,0.016310053,0
14229.772850720194,0.01631182,0
8759.688354678954,0.011024608,0
2247.0169347787833,0.0037664825,0
0.0,0.00088577496,0
0.0,0.00088588765,0
0.0,0.0008859997,0
7546.787067619622,0.009775632,0
10746.467988303202,0.013015676,0
11850.484220292448,0.014086435,0
6687.530038301482,0.00886629,0
5569.951940598249,0.007648308,0
13578.313083864858,0.015725244,0
10358.90890483887,0.01264154,0
14878.022482243658,0.016931033,0
22619.750967546002,0.023795476,0
25460.383890631758,0.026255708,0
26332.713401127407,0.027012417,0
27961.092844144274,0.028425405,0
30089.674037336074,0.030280374,0
30089.674037336074,0.030283716,0
31363.15005161435,0.031402342,0
21464.381728538723,0.022807244,0
20854.76048633429,0.022278206,0
24692.664440188157,0.02561404,0
19178.050629399353,0.020811085,0
13923.032379335355,0.016067956,0
18852.86048169584,0.02052784,0
25837.328691579398,0.026613716,0
27203.50075828883,0.027800601,0
28442.56564599273,0.028879616,0
23746.61299962724,0.02481089,0
33206.82409467615,0.03306974,0
41047.755198218416,0.04023656,0
46943.981269051386,0.045942634,0
48482.05896157857,0.047484487,0
42386.91871753946,0.041520827,0
38002.36596635658,0.03742086,0
38002.36596635658,0.037425116,0
31544.579554497555,0.031622384,0
40623.15109454931,0.03987055,0
38026.32509965819,0.037459813,0
38026.32509965819,0.03746399,0
36590.00806600448,0.036153004,0
45862.40760778953,0.044931393,0
41751.385449181245,0.04096035,0
48774.118879518384,0.047847893,0
42163.973813240234,0.0413627,0
50887.069296455855,0.050014775,0
52288.29269824315,0.05147127,0
50394.54698185646,0.04952201,0
60195.623983941725,0.059956394,0
58631.18098393464,0.058252994,0
66178.64242249375,0.06665546,0
70118.9572423991,0.07116041,0
67308.7802667942,0.06795806,0
73496.00337636448,0.075079836,0
80837.44974796654,0.08366679,0
81064.2977251853,0.08394619,0
87030.2013045208,0.09100239,0
91069.53884967486,0.09581672,0
98869.6456860262,0.10517806,0
96381.30473882507,0.10220136,0
94393.52743097833,0.099832125,0
85112.37290691317,0.08879881,0
85965.2656010647,0.08982187,0
87781.93081244492,0.09198832,0
87781.93081244492,0.09200194,0
87781.93081244492,0.09201554,0
84985.74364067017,0.08871459,0
86924.6549808274,0.09102681,0
92324.52604279961,0.09747489,0
94782.33555917961,0.10043348,0
94430.18431928245,0.10002568,0
93177.27192710344,0.09853819,0
93989.97435930558,0.09952681,0
98511.8010337588,0.10498424,0
98837.80799978272,0.10539334,0
104741.53189515679,0.11257427,0
103520.96030926952,0.11110504,0
104541.34032527305,0.112363614,0
104541.34032527305,0.1123801,0
111260.94273551716,0.12059434,0
109440.00162380256,0.11838515,0
110579.47751903649,0.119796,0
110791.4525425388,0.12007238,0
111775.9858366612,0.121292986,0
114979.93337101582,0.12522048,0
120000.0,0.13135688,0
120000.0,0.13137557,0
118392.0012485558,0.1294374,0
115511.45482158102,0.12594016,0
105799.32459417614,0.114089355,0
107165.84802364839,0.115776666,0
107165.84802364839,0.115792856,0
107165.84802364839,0.11580292,0
111239.00521124886,0.12080625,0
103195.6884242689,0.11099278,0
102665.12383988021,0.110358156,0
101518.36009589936,0.108976245,0
99488.45478384683,0.10652334,0
102190.3278011997,0.109824285,0
102190.3278011997,0.109839074,0
104707.52611548443,0.11293063,0
111837.32293925088,0.12167137,0
105096.01148087948,0.11342495,0
106744.69120785597,0.11545978,0
97274.9174186884,0.103935435,0
106079.52224718756,0.11467474,0
103842.920771318,0.11195866,0
103007.97858114833,0.11095395,0
111837.27475667883,0.12178515,0
120000.0,0.1317903,0
113915.82269578593,0.12436402,0
111981.32917079903,0.1220099,0
110527.04417063732,0.120241046,0
110527.04417063732,0.12025644,0
110896.60765975867,0.12072622,0
102320.38062896325,0.110227555,0
109217.88684835234,0.11869409,0
109217.88684835234,0.118709356,0
